test_date,market_trend,rank,symbol,score,actual_return
2026-02-28,NEUTRAL,1,CENTRALBK,75,-22.25627683209592
2026-02-28,NEUTRAL,2,UCOBANK,70,-12.50628258934665
2026-02-28,NEUTRAL,3,SOUTHBANK,65,12.222612175150038
2026-02-28,NEUTRAL,4,IOB,65,-9.739366701660012
2026-02-28,NEUTRAL,5,EASEMYTRIP,65,-29.234338913950808
2025-08-29,BULLISH,1,YESBANK,80,8.481669631045886
2025-08-29,BULLISH,2,RCOM,75,-36.912752241654665
2025-08-29,BULLISH,3,SOUTHBANK,65,39.90433718919901
2025-08-29,BULLISH,4,JPPOWER,60,-20.174003303996745
2025-08-29,BULLISH,5,IOB,60,-4.174324353421833
2025-02-28,BEARISH,1,SOUTHBANK,50,25.334434141795946
2025-02-28,BEARISH,2,RCOM,50,-6.857143129621235
2025-02-28,BEARISH,3,MAHABANK,40,18.214082577707245
2025-02-28,BEARISH,4,MTNL,30,6.162265590794336
2025-02-28,BEARISH,5,MMTC,25,26.23782594452464
2024-08-29,BULLISH,1,PCJEWELLER,80,6.297043023107296
2024-08-29,BULLISH,2,YESBANK,75,-25.031600258299857
2024-08-29,BULLISH,3,SOUTHBANK,75,-6.677087323503461
2024-08-29,BULLISH,4,HATHWAY,75,-34.680455028117706
2024-08-29,BULLISH,5,RPOWER,70,19.46352902302071
2024-02-29,BULLISH,1,SOUTHBANK,75,-19.70934690128058
2024-02-29,BULLISH,2,IDEA,70,17.509167500287504
2024-02-29,BULLISH,3,GTLINFRA,65,30.95238689932991
2024-02-29,BULLISH,4,BAJAJHIND,65,17.906975506317877
2024-02-29,BULLISH,5,YESBANK,60,-1.75869239982831
2023-08-29,BULLISH,1,HATHWAY,105,43.84385172168288
2023-08-29,BULLISH,2,MMTC,100,94.81131014513302
2023-08-29,BULLISH,3,IOB,100,118.44660463853613
2023-08-29,BULLISH,4,NBCC,90,183.60276654729137
2023-08-29,BULLISH,5,IRFC,90,215.5686184493184
2023-02-28,NEUTRAL,1,YESBANK,75,-3.4383974512139592
2023-02-28,NEUTRAL,2,PSB,65,37.549618095017955
2023-02-28,NEUTRAL,3,CENTRALBK,55,38.03091555488998
2023-02-28,NEUTRAL,4,UCOBANK,55,24.710421766043076
2023-02-28,NEUTRAL,5,IOB,50,28.600827082907188
2022-08-29,NEUTRAL,1,SOUTHBANK,105,103.6809805404662
2022-08-29,NEUTRAL,2,YESBANK,100,-0.308649025027008
2022-08-29,NEUTRAL,3,UCOBANK,100,108.33334704944946
2022-08-29,NEUTRAL,4,PSB,90,65.25974397084961
2022-08-29,NEUTRAL,5,HATHWAY,90,-12.893987709461296
2022-02-28,NEUTRAL,1,MMTC,75,-8.756755107157943
2022-02-28,NEUTRAL,2,NMDC,70,-14.111072518230838
2022-02-28,NEUTRAL,3,KARURVYSYA,70,51.757918254643464
2022-02-28,NEUTRAL,4,PNB,60,4.541241587287903
2022-02-28,NEUTRAL,5,PENIND,60,21.968618917394345
2021-08-29,BULLISH,1,SOUTHBANK,75,-20.68964973275661
2021-08-29,BULLISH,2,IOB,75,-10.230179427366116
2021-08-29,BULLISH,3,MMTC,65,0.11148952833670567
2021-08-29,BULLISH,4,CENTRALBK,65,-12.560383517672957
2021-08-29,BULLISH,5,UCOBANK,65,-7.480311195054612
