Symbol,Price,Score,RSI,Vol_Surge,1M_Return,3M_Return,Full_Return,Price_Position,SMA_Cross,Avg_Volume,Reasons,Already_Winner
RCOM,1.49,81.5,53.2,2.07,24.6,-19.5,-5.4,0.45,YES,4365289,Vol surge 2.1x | RSI 53 | SMA cross | Near lows (45%),
HDIL,3.03,67.7,42.4,1.88,9.5,-14.0,-7.1,0.32,no,159987,Vol surge 1.9x | RSI 42 | Near lows (32%) | 1M: +9%,
YESBANK,19.1,54.3,49.1,0.89,-2.8,-11.6,14.5,0.36,no,64204907,Vol spike 1.7x | RSI 49 | Near lows (36%) | High liquidity,
RTNPOWER,12.29,50.9,51.0,0.3,-4.2,11.8,42.1,0.47,no,31330500,RSI 51 | Above SMA20 | Near lows (47%) | High liquidity,*
EASEMYTRIP,8.32,48.2,37.7,1.48,-14.9,-22.6,-23.2,0.03,no,26035425,Vol surge 1.5x | Vol spike 1.3x | RSI 38 | High liquidity,
HATHWAY,14.61,46.4,58.7,0.38,-1.8,-6.3,13.5,0.46,no,2290019,RSI 59 | Above SMA20 | Near lows (46%) | High liquidity,
IDEA,6.49,42.6,46.7,0.88,-6.1,-4.9,-11.9,0.18,no,407934811,RSI 47 | Near lows (18%) | High liquidity,
UNITECH,7.11,42.1,48.6,0.68,-6.1,-7.9,17.3,0.28,no,1775485,RSI 49 | Near lows (28%) | High liquidity,
JPPOWER,18.39,41.6,48.6,0.25,-11.7,21.0,45.0,0.43,no,36171420,RSI 49 | Near lows (43%) | High liquidity,*
GTLINFRA,1.48,41.0,39.1,0.47,-5.1,-1.3,2.8,0.22,no,38689989,RSI 39 | Near lows (22%) | High liquidity,
DISHTV,5.11,41.0,47.9,0.86,-5.5,-13.1,-17.7,0.19,no,1809169,RSI 48 | Near lows (19%) | High liquidity,
PCJEWELLER,13.11,40.8,36.2,0.72,-13.7,10.0,23.0,0.3,no,58998294,RSI 36 | Near lows (30%) | High liquidity,
INDOWIND,16.63,40.6,42.9,0.81,-7.4,-15.2,7.4,0.28,no,148539,RSI 43 | Near lows (28%),
ALOKINDS,17.41,40.2,32.4,0.23,-10.8,-9.4,16.9,0.36,no,6041576,RSI 32 | Near lows (36%) | High liquidity,
GREENPOWER,13.62,31.7,57.0,0.75,-1.2,5.2,20.2,0.58,no,4137822,RSI 57 | High liquidity,
FRETAIL,2.28,9.1,99.0,1.0,0.0,0.0,0.0,0.5,no,0,Near lows (50%),
