Symbol,Price,Total Score,Tech Score,Fund Score,Sent Score,Signals
YESBANK,22.1,105,25,45,30,"RSI Sweet Spot, Near Period Low, Low Debt"
PSB,23.14,105,25,45,30,"RSI Sweet Spot, Near Period Low, Low Debt"
CENTRALBK,30.54,95,25,35,30,"RSI Sweet Spot, Near Period Low, Low Debt"
PCJEWELLER,10.94,94,50,15,24,"Price > SMA20, Bullish SMA Cross, Near Period Low"
IDEA,14.68,90,30,25,30,"Price > SMA20, Low Debt, High Pos Sentiment"
IOB,32.81,90,10,45,30,"Near Period Low, Low Debt, Pos Earnings Gr"
ALOKINDS,9.24,75,45,25,0,"Vol Surge 20d, Vol Spike 5d, Near Period Low"
ALLCARGO,12.19,75,50,-10,30,"Vol Surge 20d, Price > SMA20, Bullish SMA Cross"
SUZLON,46.79,75,25,15,30,"RSI Sweet Spot, Near Period Low, Reasonable PE"
BAJAJHIND,21.67,70,70,-5,0,"Vol Surge 20d, Price > SMA20, Bullish SMA Cross"
HCC,24.64,68,55,-10,18,"Vol Spike 5d, Price > SMA20, High Pos Sentiment"
UTKARSHBNK,14.68,60,30,25,0,"Price > SMA20, Near Period Low, Low Debt"
RPOWER,22.45,45,25,10,5,"RSI Sweet Spot, Near Period Low, Pos Earnings Gr"
JPPOWER,16.82,40,20,15,0,"Bullish SMA Cross, Near Period Low, Pos Earnings Gr"
RCOM,0.81,40,25,15,-5,"RSI Sweet Spot, Near Period Low, Low Debt"
NETWORK18,28.8,40,35,0,0,"RSI Sweet Spot, Near Period Low"
GREENPOWER,9.39,40,10,-5,30,"Near Period Low, Reasonable PE, High Pos Sentiment"
JETAIRWAYS,34.16,35,10,25,0,"Near Period Low, Low Debt"
FRETAIL,2.28,35,10,25,0,"Near Period Low, Low Debt"
GTLINFRA,1.2,30,10,15,0,"Near Period Low, Low Debt"
EASEMYTRIP,6.12,30,25,0,0,"RSI Sweet Spot, Near Period Low"
SPENTEX,46.0,15,0,15,0,Low Debt
RTNPOWER,7.95,5,10,-10,0,Near Period Low
